,lon,lat,address,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10
1,126.835152,37.4889003,"1189 ori-ro, oryu-dong, guro-gu, seoul, south korea",0.241507263,0.93892153,1.14431856,1.251627917,1.972628694,2.097439672,2.193126137,2.850897117,3.138840633,3.221619653,7호선,1호선,7호선,1호선,7호선,1호선,1호선,7호선,1호선,7호선,천왕,오류동,온수,온수,광명사거리,역곡,개봉,까치울,구일,철산
2,126.9064243,37.4463538,"24-17 siheung-dong, geumcheon-gu, seoul, south korea",1.169716728,1.496617384,2.696420978,3.066315257,3.721011995,4.336387936,4.368688803,4.411508416,4.615371326,4.675108776,1호선,1호선,1호선,1호선,1호선,7호선,2호선,1호선,2호선,2호선,석수,금천구청,독산,관악,광명,가산디지털단지,구로디지털단지,가산디지털단지,신대방,신림
3,127.1083436,37.6410558,"26-38 gongneung-dong, nowon-gu, seoul, south korea",0.962055659,1.646335367,3.028076056,3.182286222,3.27469901,3.296352305,3.554138367,3.585553985,3.792953474,3.832929062,경춘선,경춘선,6호선,경춘선,경춘선,6호선,7호선,7호선,4호선,경의중앙선,갈매,별내,봉화산,신내,퇴계원,화랑대,공릉,하계,상계,양원
4,126.9715535,37.5669513,"25, jeongdong-gil, jung-gu, seoul, south korea",0.447755004,0.499610109,0.503930655,0.70288322,0.991776123,1.00050704,1.004515633,1.059476212,1.096139803,1.099842117,5호선,2호선,1호선,5호선,2호선,2호선,3호선,5호선,1호선,4호선,서대문,시청,시청,광화문,을지로입구,충정로,경복궁,충정로,종각,회현
5,127.0513545,37.4763807,"south korea, 서울특별시 강남구 개포동 1272",1.234109391,1.329878406,1.40248254,1.642571424,1.654035669,1.709961884,1.785651408,1.925308384,2.215087463,2.285433733,3호선,신분당선,분당선,신분당선,3호선,분당선,3호선,분당선,분당선,3호선,매봉,양재시민의숲,구룡,양재,도곡,도곡,양재,개포동,한티,대치
6,127.087376,37.5504276,"664, cheonho-daero, gwangjin-gu, seoul, south korea",0.266367452,1.015590832,1.039650099,1.146826684,1.479194241,1.589448951,1.681403926,1.798095955,1.835249836,1.94906215,5호선,7호선,5호선,7호선,2호선,5호선,7호선,7호선,2호선,2호선,아차산,군자,군자,어린이대공원,구의,광나루,중곡,건대입구,강변,건대입구
7,127.0168786,37.5686276,"290 dasan-ro, heungin-dong, jung-gu, seoul, south korea",0.261603201,0.400414196,0.415096239,0.524716238,0.615526833,0.718135048,0.756750097,0.908910434,0.922382376,0.984587181,6호선,2호선,6호선,1호선,1호선,4호선,2호선,4호선,6호선,5호선,신당,신당,동묘앞,동묘앞,동대문,동대문,동대문역사문화공원,동대문역사문화공원,청구,청구
8,126.9422535,37.4702682,"228 sillim-dong, gwanak-gu, seoul, south korea",1.366892678,1.527698282,1.924454154,2.021200361,2.996255705,3.070368573,3.194509725,3.505997462,3.527272794,3.541024898,2호선,2호선,2호선,2호선,7호선,7호선,2호선,7호선,2호선,4호선,봉천,서울대입구,신림,낙성대,남성,숭실대입구,신대방,신대방삼거리,사당,사당
9,127.029419,37.4880282,"69 nambusunhwan-ro 347-gil, seocho-dong, seocho-gu, seoul, south korea",0.552109544,0.705183036,0.9616147,1.118636818,1.213730823,1.478935172,1.512778645,1.518850352,1.540443979,1.88802753,3호선,신분당선,신분당선,2호선,3호선,3호선,3호선,2호선,2호선,9호선,양재,양재,강남,강남,남부터미널,교대,매봉,교대,역삼,신논현
10,126.9579718,37.5570078,"267-1 ahyeon-dong, mapo-gu, seoul, south korea",0.16129644,0.39861732,0.570957733,0.658814053,1.044625271,1.064573202,1.101907973,1.241645985,1.249161106,1.354628772,2호선,5호선,5호선,2호선,경의중앙선,2호선,공항철도,5호선,1호선,4호선,아현,애오개,충정로,충정로,서울,이대,서울,서대문,서울,서울
11,126.9193057,37.5895736,"208 gajwa-ro, eungam-dong, eunpyeong-gu, seoul, south korea",0.524960103,1.043948778,1.091676518,1.861240001,1.900875954,2.124747781,2.14116359,2.176794772,2.197822279,2.296720525,6호선,6호선,6호선,6호선,3호선,경의중앙선,6호선,공항철도,3호선,경의중앙선,새절,증산,응암,역촌,녹번,디지털미디어시티,디지털미디어시티,디지털미디어시티,홍제,수색
12,127.0172711,37.5723681,"sungin-dong, jongno-gu, seoul, south korea",0.128676453,0.14065282,0.53744306,0.676961337,0.719891517,0.729941795,0.766294356,0.773614329,0.878059102,1.033614771,1호선,6호선,1호선,6호선,4호선,2호선,2호선,1호선,6호선,2호선,동묘앞,동묘앞,동대문,신당,동대문,신설동,신당,신설동,창신,동대문역사문화공원
13,127.0206203,37.563305,"67-24 sindang-dong, jung-gu, seoul, south korea",0.284322802,0.517609219,0.650044204,0.677175164,0.753523594,0.975464599,1.036598463,1.04428421,1.08447206,1.155537349,2호선,6호선,6호선,5호선,2호선,5호선,5호선,2호선,6호선,4호선,신당,신당,청구,청구,상왕십리,신금호,행당,동대문역사문화공원,동묘앞,동대문역사문화공원
14,126.9855524,37.5568695,"49-25 myeong-dong, jung-gu, seoul, south korea",0.458644834,0.671305114,0.819607169,0.924659461,1.043622277,1.134241602,1.170251882,1.176996202,1.198408711,1.222819944,4호선,4호선,4호선,3호선,2호선,2호선,2호선,4호선,1호선,1호선,명동,회현,충무로,충무로,을지로입구,을지로3가,시청,서울,서울,시청
