4호선,300,,,,,,,,,,,,,,500,,,,,,,,,,,,,
,인구,가구,주택,사업체수,교육시설,공공기관,금융시설,의료시설,대중교통,방범/방재,백화점/중대형마트,편의점,극장/영화관,도서관/박물관,인구,가구,주택,사업체수,교육시설,공공기관,금융시설,의료시설,대중교통,방범/방재,백화점/중대형마트,편의점,극장/영화관,도서관/박물관
당고개,13718,5715,4308,645,5,1,2,28,6,1,0,6,0,0,23299,9372,7544,994,6,3,3,41,11,1,0,8,0,0
상계,19085,7202,5615,1412,3,1,13,80,10,0,0,12,0,2,44273,17244,12960,2419,7,6,17,114,20,2,0,20,0,2
노원(4),12095,4864,4271,2461,0,5,90,193,24,0,0,23,0,0,29133,11729,10191,3236,10,11,131,251,35,0,0,32,0,0
창동,10960,2067,3882,1418,3,7,39,84,16,0,2,17,0,0,31842,11137,10889,1721,6,9,41,117,19,2,2,18,0,0
쌍문,15442,7117,4070,1313,3,0,10,73,19,0,0,14,0,0,40154,16610,11460,2134,14,6,16,114,37,2,0,26,0,1
수유,13359,6887,3589,2377,0,7,122,113,28,1,0,39,0,0,33224,16069,9146,3956,3,9,135,159,37,3,0,51,1,0
미아,12852,5407,3009,1413,6,9,28,59,21,3,0,12,0,2,31354,13095,8241,2588,8,11,32,113,28,4,0,19,0,4
미아사거리,10155,4862,2257,1442,3,3,15,66,20,2,2,11,1,0,26917,11698,6789,2907,14,10,25,129,42,4,3,21,1,2
길음,13457,5246,2796,942,2,2,10,50,18,1,0,4,0,0,39753,15127,13287,2106,6,10,17,116,40,5,2,15,0,1
성신여대입구,9741,5122,3211,2083,2,6,26,109,18,2,0,15,2,0,31939,14862,9632,3146,15,8,38,152,30,2,0,36,2,0
한성대입구,11852,5499,2980,1188,9,4,12,60,29,2,0,16,3,2,26147,11631,7292,2097,14,7,16,100,44,2,0,26,23,7
혜화,7011,3434,1898,1664,9,7,16,41,23,1,0,15,55,8,15785,7485,4863,2347,12,12,20,64,39,3,0,25,62,10
동대문(4),7802,3836,2467,23756,6,14,86,138,33,6,0,34,4,1,18314,8526,5923,25707,12,16,96,171,45,8,0,46,4,2
동대문역사문화공원(4),4602,2440,1841,16856,4,11,101,53,24,6,0,24,4,0,12114,6262,4059,20793,7,14,116,71,33,7,0,39,4,1
충무로(4),3343,1927,1259,9077,3,9,122,60,13,4,0,37,5,0,6827,3293,2318,14574,21,19,387,174,31,7,0,77,14,2
명동,2795,1308,827,7186,11,14,319,145,23,5,0,53,10,0,5093,2455,1779,17360,11,19,463,201,45,8,5,72,11,2
회현,8153,2056,1600,11434,0,8,229,79,34,3,5,31,1,0,8153,3997,3008,16896,4,18,632,238,63,5,5,76,7,3
서울역(4),5119,2980,2147,1582,0,4,93,50,24,2,0,27,1,0,17824,8943,6175,3850,2,12,205,102,37,3,0,47,0,2
숙대입구 ,7355,3851,2068,1786,5,4,33,50,23,1,0,24,0,1,16371,8106,4583,2432,10,6,61,67,32,2,0,39,0,1
삼각지(4),5967,3178,2833,3804,1,13,44,43,27,1,1,18,1,2,11084,5320,5031,4179,3,13,45,52,32,1,1,24,1,2
신용산,3456,1866,1607,3594,1,14,41,39,26,3,3,16,2,1,7538,3871,3565,4471,3,17,53,45,32,4,3,23,2,1
이촌,9194,3435,3495,792,4,9,15,34,20,1,0,10,0,2,20575,7575,7880,1142,9,10,34,62,25,2,0,15,0,2
동작,2831,897,889,94,0,0,0,1,6,0,0,2,0,0,3883,1276,1196,109,2,0,0,1,9,0,0,2,0,0
총신대입구,13862,6018,4108,2116,2,2,59,158,19,0,1,21,2,2,36068,14953,9818,3448,5,5,72,213,42,0,1,32,2,3
사당,9542,4754,3028,2065,3,4,79,73,21,0,0,30,0,0,27593,12917,7809,3030,5,10,103,116,36,4,1,38,0,1
남태령,2737,1088,681,142,1,0,0,8,9,0,0,3,0,0,4124,1644,1115,339,2,1,1,10,15,0,1,3,0,0
