Ç×¸ñ,Áý°è±¸¹øÈ£,¼øÀ§,°ª,ºñÀ²(%)
½Ö¹®1µ¿_1,1110051030005,1,255,4
½Ö¹®1µ¿_2,1110051030018,2,237,3.7
½Ö¹®1µ¿_3,1110051030701,3,210,3.3
½Ö¹®1µ¿_4,1110051020002,4,202,3.2
½Ö¹®1µ¿_5,1110051030012,5,199,3.1
½Ö¹®1µ¿_6,1110051040102,6,196,3.1
½Ö¹®1µ¿_7,1110051030302,7,184,2.9
½Ö¹®1µ¿_8,1110051030802,8,172,2.7
½Ö¹®1µ¿_9,1110051030001,9,172,2.7
½Ö¹®1µ¿_10,1110051020001,10,170,2.7
½Ö¹®1µ¿_11,1110051030008,11,169,2.7
½Ö¹®1µ¿_12,1110051010002,12,168,2.6
½Ö¹®1µ¿_13,1110051030011,13,168,2.6
½Ö¹®1µ¿_14,1110051040003,14,162,2.6
½Ö¹®1µ¿_15,1110051040001,15,156,2.5
½Ö¹®1µ¿_16,1110051030017,16,155,2.4
½Ö¹®1µ¿_17,1110051020101,17,154,2.4
½Ö¹®1µ¿_18,1110051030019,18,151,2.4
½Ö¹®1µ¿_19,1110051030702,19,150,2.4
½Ö¹®1µ¿_20,1110051010001,20,149,2.3
½Ö¹®1µ¿_21,1110051030020,21,147,2.3
½Ö¹®1µ¿_22,1110051030101,22,141,2.2
½Ö¹®1µ¿_23,1110051030004,23,140,2.2
½Ö¹®1µ¿_24,1110051030016,24,139,2.2
½Ö¹®1µ¿_25,1110051030022,25,136,2.1
½Ö¹®1µ¿_26,1110051030021,26,135,2.1
½Ö¹®1µ¿_27,1110051030703,27,134,2.1
½Ö¹®1µ¿_28,1110051030014,28,132,2.1
½Ö¹®1µ¿_29,1110051010003,29,131,2.1
½Ö¹®1µ¿_30,1110051030301,30,130,2
½Ö¹®1µ¿_31,1110051030010,31,123,1.9
½Ö¹®1µ¿_32,1110051040005,32,122,1.9
½Ö¹®1µ¿_33,1110051040101,33,119,1.9
½Ö¹®1µ¿_34,1110051030801,34,115,1.8
½Ö¹®1µ¿_35,1110051030002,35,110,1.7
½Ö¹®1µ¿_36,1110051030003,36,110,1.7
½Ö¹®1µ¿_37,1110051030023,37,103,1.6
½Ö¹®1µ¿_38,1110051030501,38,103,1.6
½Ö¹®1µ¿_39,1110051030009,39,98,1.5
½Ö¹®1µ¿_40,1110051030007,40,97,1.5
½Ö¹®1µ¿_41,1110051030015,41,94,1.5
½Ö¹®1µ¿_42,1110051030006,42,84,1.3
½Ö¹®1µ¿_43,1110051040004,43,68,1.1
½Ö¹®1µ¿_44,1110051030013,44,39,0.6
½Ö¹®1µ¿_45,1110051040002,45,17,0.3
